// Laptops and iPads //
iPad,8966833
Macbook Air MS2,8513330
Dell XPS,8948289

// Laptop Chargers //
8-hour MS1 Adapter,8516675
2-hour MS1 Adapter,8509957
8-hour MS2 Adapter,8948314
2-hour MS2 Adapter,9864660
Dell Power Adapter,8680004

// Phone Chargers //
Mini-USB charger,8920736
Micro-USB charger,8916813
Apple Lightning charger,8968294

// Video Adapters and Cables //
HDMI cable,8690270
USB to VGA,8509852
Mini DisplayPort to HDMI,8509847
Mini DVI to VGA,8509108
Universal DisplayPort to HDMI,10108672
PC DisplayPort to HDMI,10108673
PC DisplayPort to VGA,10108674

// Data Cables //
Ethernet cable 25ft,8516685
Ethernet cable 10ft,8516696
FireWire 800,8532264
FireWire 400,8920709
FireWire 800/400 adapter,8532262
Thunderbolt cable,8690269
Apple USB to Ethernet adapter,8903640
Apple Thunderbolt to Ethernet Adapter,10115654

// Misc //
DSLR Camera,9278092
Keyboard,8754874
Mouse,8754890
